CellCode,precipitation
10kmE276N240,1363.3715384615384
10kmE276N241,1475.9980769230772
10kmE277N176,513.6080769230769
10kmE277N178,474.8088461538463
10kmE277N179,471.0303846153846
10kmE277N228,1498.7061538461542
10kmE277N229,1625.2966666666669
10kmE277N230,1593.9511538461538
10kmE277N231,1347.436153846154
10kmE277N232,1328.7811538461538
10kmE277N234,1340.6915384615386
10kmE277N235,1406.2984615384614
10kmE277N236,1641.4332051282054
10kmE277N237,1849.0153846153844
10kmE277N238,1783.9596153846155
10kmE277N239,1957.8355769230766
10kmE277N240,1787.1292307692304
10kmE277N241,1475.526923076923
10kmE277N242,1329.0510256410255
10kmE278N174,515.2158974358973
10kmE278N175,544.2617948717949
10kmE278N176,548.7978205128205
10kmE278N177,529.4692307692308
10kmE278N178,525.9177884615385
10kmE278N179,502.77717948717947
10kmE278N229,1552.5078846153847
10kmE278N230,1693.3455769230768
10kmE278N231,1520.1935897435899
10kmE278N232,1506.7776923076926
10kmE278N233,1499.1703846153846
10kmE278N234,1643.3753846153847
10kmE278N236,1955.084423076923
10kmE278N237,2058.891282051282
10kmE278N238,1998.2297435897435
10kmE278N239,2122.5096153846157
10kmE278N240,1938.9348717948717
10kmE278N241,1671.5113461538463
10kmE278N242,1419.6509615384616
10kmE279N174,539.3921153846155
10kmE279N175,566.8289423076923
10kmE279N176,593.7765384615385
10kmE279N177,597.8320512820513
10kmE279N178,596.1125961538462
10kmE279N179,532.1117948717948
10kmE279N180,530.4596153846154
10kmE279N229,1441.2859615384616
10kmE279N230,1565.0365384615386
10kmE279N231,1732.0007692307695
10kmE279N232,1643.3107692307692
10kmE279N233,1746.4573076923073
10kmE279N234,1744.1791025641025
10kmE279N235,1796.9496153846155
10kmE279N236,1916.1632692307694
10kmE279N237,2170.6602564102564
10kmE279N238,2198.318076923077
10kmE279N239,2127.80358974359
10kmE279N240,2021.835897435897
10kmE279N241,1782.8589423076924
10kmE279N242,1420.123557692308
10kmE280N174,550.4208974358975
10kmE280N175,577.8125
10kmE280N176,608.6800961538462
10kmE280N177,628.5953846153847
10kmE280N178,624.7861538461539
10kmE280N179,585.1523076923078
10kmE280N180,599.5286538461538
10kmE280N181,550.0755769230769
10kmE280N182,542.9865384615384
10kmE280N229,1548.1103846153844
10kmE280N230,1515.355576923077
10kmE280N231,1801.0406730769232
10kmE280N232,1947.8733653846152
10kmE280N233,1922.8688461538457
10kmE280N234,1928.7507692307695
10kmE280N235,2008.998942307692
10kmE280N236,2025.0420512820513
10kmE280N237,2045.555128205128
10kmE280N238,2090.10641025641
10kmE280N239,2035.3664102564105
10kmE280N240,1924.2298076923075
10kmE280N241,1703.368269230769
10kmE280N242,1412.9770512820514
10kmE280N243,1185.2158653846154
10kmE281N173,523.124230769231
10kmE281N174,543.2932051282052
10kmE281N175,585.4211538461537
10kmE281N176,608.595
10kmE281N177,623.2211538461538
10kmE281N178,647.1098076923078
10kmE281N179,649.1158653846153
10kmE281N180,687.0465384615384
